ship,lat,lon
THA2,56.1839,6.5296
THA2,55.923,6.6004
THA2,55.8578,7.2462
THA2,56.0256,7.1355
THA2,55.0737,7.4288
THA2,54.8573,7.2098
THA2,54.8935,6.7804
THA2,55.1324,6.5392
THA2,54.3098,8.0983
THA2,54.269,7.6382
THA2,54.0378,7.8135
THA2,53.941,7.4593
THA2,54.2557,5.6924
THA2,54.233,6.056
THA2,53.8578,6.2064
THA2,53.8104,5.9576
THA2,52.8217,4.0723
THA2,53.2233,4.2153
THA2,54.093,2.8589
THA2,54.6564,2.6861
THA2,54.609,3.353
THA2,55.758,5.2531
THA2,55.9191,4.8295
THA2,56.2513,5.5001
THA2,55.242,3.501
THA2,55.5272,3.301
THA2,55.6519,2.7703
THA2,55.4569,2.7715
THA2,55.6963,0.8523
THA2,55.8296,1.2244
THA2,56.1246,0.4877
THA2,56.1585,-2.3014
THA2,56.2421,-1.5013
THA2,55.86,-1.2747
THA2,55.0919,0.6982
THA2,55.1515,1.3404
THA2,54.8184,1.2556
THA2,54.715,0.7352
THA2,55.3741,-0.3231
THA2,55.4257,-1.0664
THA2,55.8624,-0.7281
THA2,54.6062,-0.548
THA2,54.7801,-0.3247
THA2,54.19,0.1085
THA2,54.213,0.2171
THA2,53.9552,0.2584
THA2,53.9461,0.867
THA2,53.4559,0.6365
THA2,53.9414,1.2457
THA2,54.3682,1.3189
THA2,53.8509,2.5715
THA2,53.3847,2.6829
THA2,53.2192,1.8061
THA2,53.2338,3.4294
THA2,52.6726,3.4235
THA2,52.7437,2.6109
THA2,51.8212,3.6324
THA2,52.202,3.7111
THA2,52.278,4.1466
THA2,51.1887,2.3909
TRI2,52.459,4.2238
TRI2,52.7693,4.2533
TRI2,53.9151,6.4753
TRI2,53.8705,7.098
TRI2,54.3271,7.3298
TRI2,54.3671,8.0108
TRI2,54.2506,6.467
TRI2,54.1845,5.5503
TRI2,53.9595,5.2618
TRI2,54.1505,4.6353
TRI2,53.6523,4.5118
TRI2,53.3636,4.407
TRI2,52.861,3.3465
TRI2,52.3786,3.2636
TRI2,52.3761,2.8323
TRI2,55.7805,3.4555
TRI2,55.8858,4.2143
TRI2,56.2243,4.2175
TRI2,56.2128,3.6103
TRI2,55.8156,0.5798
TRI2,56.2323,0.6131
TRI2,56.2565,1.4331
TRI2,56.2718,2.0643
TRI2,56.3641,-1.4438
TRI2,56.365,-2.0433
TRI2,56.5685,-2.0666
TRI2,57.2116,-1.5491
TRI2,57.1273,-0.5991
TRI2,56.6395,-0.2865
TRI2,56.391,-0.3886
TRI2,55.7383,1.4808
TRI2,55.3811,1.4943
TRI2,55.3863,2.3485
TRI2,55.691,2.3851
TRI2,53.8228,2.234
TRI2,53.6818,1.5331
TRI2,53.4841,0.7858
TRI2,53.1905,2.1893
TRI2,53.2248,1.7733
TRI2,52.936,1.8496
TRI2,52.8118,2.1945
TRI2,51.7451,3.3781
TRI2,52.2923,1.8993
TRI2,51.7303,1.8766
TRI2,51.33,1.755
TRI2,50.5393,0.556
TRI2,50.1391,0.3853
TRI2,49.871,0.3658
TRI2,50.2663,1.1506
TRI2,50.93,1.5701
TRI2,51.1433,2.15
TRI2,51.6626,2.6228
TRI2,51.4903,3.1313
TRI2,51.6285,3.1668
TRI2,53.035,4.3006
TRI2,53.6656,4.847
TRI2,53.8168,5.5516
TRI2,53.8605,6.1421
TRI2,53.805,3.558
TRI2,53.8666,3.092
TRI2,54.1141,3.315
TRI2,54.124,3.1248
TRI2,54.2496,3.4651
TRI2,53.1488,3.3335
TRI2,52.6793,3.2701
TRI2,52.5856,3.3055
TRI2,52.4151,3.384
WAH3,54.8998,7.0935
WAH3,54.8318,6.6633
WAH3,55.0893,6.5357
WAH3,55.8975,4.3007
WAH3,55.7712,3.8662
WAH3,56.1005,3.7432
WAH3,56.206,4.103
WAH3,57.1427,4.6813
WAH3,56.7768,4.49
WAH3,57.0325,3.8905
WAH3,58.2345,4.356
WAH3,57.8557,4.3707
WAH3,57.6622,3.572
WAH3,58.2162,2.6632
WAH3,58.3702,3.4705
WAH3,58.591,3.6623
WAH3,58.7697,2.6753
WAH3,59.1413,3.1335
WAH3,59.269,2.5235
WAH3,59.7083,3.196
WAH3,59.7803,2.5817
WAH3,60.2398,2.5565
WAH3,60.039,0.3395
WAH3,60.2658,1.416
WAH3,59.7848,1.3807
WAH3,59.273,0.5242
WAH3,59.317,1.2377
WAH3,58.7792,1.1452
WAH3,58.1817,1.2537
WAH3,58.3975,0.6652
WAH3,58.75,0.7785
WAH3,58.1045,-0.6628
WAH3,57.9372,-0.7557
WAH3,57.8458,-1.1808
WAH3,58.2278,-1.5922
WAH3,57.8282,-2.4807
WAH3,57.9187,-3.264
WAH3,58.2112,-3.1293
WAH3,58.398,-2.5525
WAH3,58.8713,-2.3215
WAH3,58.9275,-1.8957
