"lon","lat"
4.907,61.293
4.916,61.284
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
4.826,61.314
4.808,61.319
4.808,61.327
4.835,61.331
4.826,61.314
NA,NA
4.7,61.258
4.754,61.271
4.745,61.28
4.7,61.275
4.691,61.271
4.691,61.262
4.7,61.258
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
4.736,61.18
4.718,61.185
4.718,61.193
4.736,61.198
4.745,61.185
4.736,61.18
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
5.086,61.098
5.059,61.102
5.05,61.119
5.059,61.124
5.095,61.124
5.104,61.119
5.095,61.102
5.086,61.098
NA,NA
4.763,61.015
4.781,61.02
4.781,61.063
4.763,61.072
4.736,61.067
4.736,61.028
4.763,61.015
NA,NA
4.691,60.976
4.673,60.98
4.655,60.989
4.646,61.046
4.664,61.054
4.691,61.054
4.691,61.028
4.736,61.002
4.709,60.98
4.691,60.976
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
4.835,60.945
4.817,60.945
4.817,60.959
4.835,60.967
4.853,60.959
4.853,60.954
4.835,60.945
NA,NA
4.969,60.823
5.023,60.827
5.023,60.858
4.978,60.902
4.969,60.911
4.952,60.906
4.96,60.867
4.925,60.849
4.925,60.841
4.969,60.823
NA,NA
4.88,60.836
4.898,60.836
4.871,60.889
4.826,60.893
4.808,60.889
4.808,60.871
4.871,60.836
4.88,60.836
NA,NA
4.916,60.713
4.943,60.713
4.943,60.727
4.934,60.731
4.925,60.757
4.907,60.77
4.853,60.766
4.853,60.749
4.889,60.735
4.898,60.718
4.916,60.713
NA,NA
4.7,60.727
4.691,60.727
4.673,60.735
4.673,60.757
4.691,60.757
4.718,60.749
4.718,60.735
4.7,60.727
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
5.545,60.417
5.581,60.422
5.626,60.44
5.688,60.453
5.697,60.643
5.661,60.656
5.635,60.652
5.608,60.63
5.599,60.608
5.572,60.59
5.509,60.572
5.428,60.533
5.347,60.515
5.347,60.506
5.419,60.471
5.482,60.431
5.545,60.417
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
