"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"20",0.12922687,0.12922688,0.12922688,0.12922688,0.12922687,0.12922687,0.12922687,0.12922688,0.12922688,0.12922688,0.12922687,0.12922687,0.12922687,0.12922687,0.12922688,0.12922688,0.12922688,0.12922687,0.12922687,0.12922688,0.12922687,0.12922688,0.12922687,0.12922688,0.12922688,0.12922688
"21",0.14907562,0.14907562,0.14907563,0.14907563,0.14907562,0.14907562,0.14907562,0.14907563,0.14907563,0.14907562,0.14907562,0.14907562,0.14907562,0.14907562,0.14907563,0.14907563,0.14907563,0.14907563,0.14907562,0.14907563,0.14907562,0.14907563,0.14907562,0.14907563,0.14907562,0.14907563
"22",0.17085938,0.17085937,0.17085938,0.17085938,0.17085938,0.17085937,0.17085938,0.17085938,0.17085938,0.17085938,0.17085938,0.17085937,0.17085938,0.17085937,0.17085938,0.17085938,0.17085938,0.17085938,0.17085938,0.17085938,0.17085938,0.17085938,0.17085937,0.17085938,0.17085937,0.17085938
"23",0.19466812,0.19466812,0.19466812,0.19466813,0.19466812,0.19466812,0.19466812,0.19466813,0.19466812,0.19466813,0.19466813,0.19466812,0.19466812,0.19466812,0.19466813,0.19466813,0.19466812,0.19466813,0.19466812,0.19466813,0.19466813,0.19466812,0.19466812,0.19466812,0.19466812,0.19466812
"24",0.22059187,0.22059187,0.22059187,0.22059188,0.22059187,0.22059187,0.22059187,0.22059187,0.22059187,0.22059187,0.22059188,0.22059187,0.22059187,0.22059188,0.22059188,0.22059188,0.22059188,0.22059188,0.22059188,0.22059187,0.22059188,0.22059188,0.22059187,0.22059187,0.22059187,0.22059187
"25",0.24872063,0.24872062,0.24872062,0.24872063,0.24872063,0.24872063,0.24872062,0.24872063,0.24872062,0.24872063,0.24872062,0.24872063,0.24872062,0.24872063,0.24872063,0.24872063,0.24872063,0.24872063,0.24872063,0.24872063,0.24872063,0.24872063,0.24872063,0.24872062,0.24872063,0.24872062
"26",0.27914438,0.27914438,0.27914438,0.27914437,0.27914437,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914438,0.27914437,0.27914437
"27",0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195313,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195312,0.31195313,0.31195312,0.31195313,0.31195312,0.31195313,0.31195313,0.31195312
"28",0.34723688,0.34723688,0.34723687,0.34723688,0.34723688,0.34723688,0.34723688,0.34723687,0.34723687,0.34723688,0.34723688,0.34723687,0.34723688,0.34723688,0.34723688,0.34723688,0.34723687,0.34723688,0.34723688,0.34723688,0.34723688,0.34723688,0.34723688,0.34723688,0.34723688,0.34723687
"29",0.38508562,0.38508562,0.38508562,0.38508562,0.38508562,0.38508562,0.38508562,0.38508562,0.38508562,0.38508562,0.38508563,0.38508562,0.38508563,0.38508562,0.38508563,0.38508563,0.38508562,0.38508563,0.38508563,0.38508563,0.38508562,0.38508563,0.38508563,0.38508562,0.38508562,0.38508562
