"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"15",0.0080321566,0.0073047005,0.0088125156,0.0084180341,0.0073902004,0.0068652964,0.0065562156,0.0059034604,0.0050804643,0.0041396731,0.0030686432,0.0020965927,0.0015476682,0.0012089494,0.00087089598,0.00056219515,0.00034135668,0.0002321246,0.00020190451,0.00049493463,0.0005426226,0.0016968996,0.0020134032,0.00099589993,0.00046440648,0.00039426276
"16",0.01487942,0.011755802,0.013806764,0.014001235,0.012442717,0.011369657,0.010811976,0.0099249547,0.008620162,0.0071604788,0.0054577377,0.0038173881,0.002722184,0.0021174307,0.0015614714,0.0010459422,0.00064269061,0.00041898494,0.00033536585,0.00065441483,0.00089536178,0.0021403624,0.0033249113,0.0020600013,0.00092862011,0.00065341337
"17",0.026686929,0.019764293,0.021496413,0.022893357,0.020887403,0.018868301,0.017791888,0.016566472,0.014578527,0.012305264,0.0096355405,0.0069174779,0.0048505102,0.0037050012,0.0027839414,0.0019271613,0.001211733,0.00076889143,0.00057366518,0.0008660944,0.0014114484,0.0026818636,0.0051292718,0.003985475,0.0019218198,0.0011529394
"18",0.046414145,0.034425042,0.033780917,0.03689169,0.034901376,0.031444756,0.029331071,0.027530376,0.024600987,0.021058206,0.016903339,0.012469805,0.0087398094,0.0065159243,0.0049456057,0.0035217365,0.0022803493,0.0014321125,0.0010068027,0.0011902897,0.0021145436,0.0034540591,0.0074625494,0.0072187405,0.0039607246,0.0021520326
"19",0.078616878,0.060919118,0.054298927,0.05885888,0.057882553,0.052573736,0.048533364,0.045640572,0.041404112,0.035921262,0.029476381,0.022346938,0.015848597,0.011561347,0.0087732773,0.0063915053,0.0042708127,0.0026950018,0.0018111217,0.0017448456,0.0030466253,0.0046519017,0.010365583,0.012280498,0.0079065728,0.0042035716
"20",0.13028652,0.10752467,0.089834086,0.093634263,0.09507578,0.087925255,0.080630188,0.075606635,0.069458542,0.06108798,0.051112783,0.039790058,0.028779773,0.020716975,0.015584941,0.011537873,0.0079462035,0.0050961562,0.0033290023,0.0027513357,0.0043028198,0.006514018,0.013952047,0.019713751,0.01506531,0.0083907752
"21",0.2121252,0.18712112,0.15250933,0.1498444,0.15468666,0.14658884,0.13438804,0.12533593,0.1161467,0.10355511,0.088172313,0.070374827,0.052135229,0.037436177,0.027805153,0.020758618,0.014680882,0.009637241,0.0062213306,0.0046297884,0.006101706,0.0093150423,0.018496897,0.030042087,0.027241571,0.016668318
"22",0.34040772,0.31944882,0.26301503,0.24321195,0.24999829,0.24296241,0.22433406,0.20814146,0.19372866,0.17495299,0.15137957,0.12364077,0.093981788,0.068006051,0.049927162,0.037315467,0.026951224,0.018163595,0.011753127,0.0081886082,0.0089162245,0.01340234,0.024520969,0.043783603,0.046710572,0.03228183
"23",0.53960785,0.53447278,0.45520244,0.40213278,0.40343759,0.39982134,0.37419119,0.34636775,0.32266825,0.29457406,0.25873487,0.21582168,0.1683419,0.12373009,0.090272555,0.067190734,0.049237305,0.034052037,0.022320489,0.014994739,0.013718689,0.0193267,0.032860516,0.061562452,0.076100564,0.060184962
"24",0.84605538,0.87727244,0.78252219,0.6764165,0.65412037,0.6536464,0.62216549,0.57719028,0.53719806,0.49441133,0.440293,0.37438218,0.29938536,0.2246748,0.16414099,0.12143934,0.089699158,0.063461382,0.04241359,0.028078673,0.022450258,0.028146922,0.044754024,0.084336446,0.11823255,0.10731926
"25",1.3131414,1.4149151,1.3269474,1.1501194,1.0710131,1.0642585,1.0292663,0.96165976,0.8944369,0.82752988,0.74597565,0.64547047,0.52840124,0.40601226,0.2993258,0.2205191,0.16330813,0.11762461,0.080368415,0.05325257,0.038928254,0.042051151,0.062056752,0.11373545,0.17602407,0.18260101
