"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"22",11717580,10996129,9053554.1,8371888.6,8605489.3,8363299,7722070.2,7164685.6,6668565.2,6022265.5,5210816.8,4255986.4,3235059.2,2340917.4,1718602.4,1284480.2,927720.21,625230.78,404568.39,281869.85,306916,461337.92,844065.5,1507127.6,1607880.3,1111211.4
"23",11565391,11455331,9756333.7,8618894.1,8646860,8569353.2,8020023.2,7423684.5,6915734.3,6313592.7,5545453,4625696.6,3608064.6,2651901.5,1934807.7,1440096,1055301,729835.79,478394.05,321381.57,294032.06,414228.31,704297.98,1319465.3,1631060,1289941.6
"24",11295616,11712393,10447390,9030781.3,8733107.5,8726779.6,8306480.5,7706020.2,7172087.3,6600845.2,5878315.8,4998345.8,3997069.4,2999614.9,2191433,1621326.7,1197566.1,847267.71,566260.37,374876.06,299731.55,375787.25,597507.31,1125969,1578513.2,1432810.7
"25",10928213,11775193,11043109,9571513.5,8913175.3,8856962.3,8565750.5,8003116,7443674.6,6886861.6,6208151.7,5371728.5,4397456,3378911.5,2491046.4,1835202.1,1359081.4,978894.47,668841.29,443178.05,323968.36,349957.7,516448.14,946528.13,1464905.9,1519640.4
"26",10486076,11662883,11482524,10174870,9213821.3,8995491.4,8791658.2,8301642.9,7732123.1,7175980.4,6534449.4,5743647.5,4804820.2,3783613.4,2833157.5,2088034.7,1545820.4,1127320.2,787030.67,527305.27,366558,340492.73,456036.64,792096.66,1311820.6,1539818.3
"27",9999150,11400598,11730675,10759990,9629231.5,9181200.2,8991462.3,8587670.1,8033207,7472048,6857725.2,6111875.8,5214753.9,4206853.1,3214253,2384149.9,1764548.3,1296621.5,922341.85,628372.74,427607.28,350110.08,414242.32,666542.88,1141946.2,1494111.9
"28",9505585.5,11017957,11776049,11247339,10119109,9441733.8,9184654.4,8851637,8337220.7,7775892.2,7178936.3,6474104.9,5622494.1,4641045.9,3628002.7,2724745.1,2021731.4,1492243,1077299.6,747705.08,507621.08,380490.32,391431.21,569709.67,974608.58,1393357.1
"29",9049110.7,10549471,11625537,11570820,10614986,9779983.6,9395550.7,9091820.7,8631153.6,8083103.9,7497789.3,6827518.7,6022376.6,5077435.9,4065321.8,3106944.1,2322054,1720378.8,1255649.8,887083.71,607470.94,432619.25,389198.76,500146.47,823616.15,1254872.1
"30",8672881.2,10034416,11299473,11684272,11031995,10165536,9640812.1,9313706.7,8901632.6,8382854.9,7810140.7,7167534.3,6406908.5,5505139.9,4513985.4,3522911,2666658.5,1986704.8,1462149.4,1048975.3,728352.44,507127.01,409358.21,456734.44,697274.68,1098096.2
"31",8410871.4,9514113.2,10827583,11563049,11282492,10533723,9915190.6,9523590.8,9136614.3,8657911.1,8105082.9,7485440.1,6765175.3,5909602.3,4957551.5,3958744.3,3051163.1,2294395.8,1701659.4,1236489.8,871731.44,604456.08,453295.6,439152.89,599694.6,940877.82
"32",8278595.1,9025732.2,10245249,11202717,11289080,10793058,10180234,9716956.7,9323592.9,8885201.3,8362522.8,7765189.6,7080454.3,6270496.4,5373555.8,4392912.8,3463439.7,2641439.1,1977286.1,1452729.8,1039124.3,724792.78,521594.18,447528.44,532362.63,797214.18
"33",8265727.7,8593603.8,9589145.6,10617106,10996722,10840871,10361296,9865400.2,9443509.9,9035894.4,8552136.6,7980502.8,7327618.9,6559659,5731475.8,4794442.3,3881255.2,3017418.5,2287456.6,1699187,1231433.5,867711.67,613720.85,481664.36,495228.05,676466.2
